Match.Id,Weight,Win.Lose,Score,Attack,Counter.Attack,Points.From.Front.Head.Lock,Points.From.Pushing.Out.Of.Bounds,Opponent.Inactivity,High.Single,Low.Single,Double.Leg,Go.Behind,Duck.Under,Slide.By.And.Throw.By,Ankle.Pick,Trips,Upper.Body.Throws,Gut.Wrench,Leg.Lace,Opponent.Penalty,Youtube.Link,,,,,,,,,,,,,,,,,,,,,,
20B,70,0,5-7,2,1,,1,,3,,,,,,,,,2,,,https://www.youtube.com/watch?v=D0jG_JntZbU,,,,,,,,,,,,,,,,,,,,,,
21R,65,1,10-9,,4,,,,,,,4,,,,,,,6,,https://www.youtube.com/watch?v=_FM592eUxus,,,,,,,,,,,,,,,,,,,,,,
21B,65,0,9-10,4,2,2,1,1,,,2,4,,,,,,,,1,https://www.youtube.com/watch?v=_FM592eUxus,,,,,,,,,,,,,,,,,,,,,,
22B,65,0,8-16,2,,,,,,,,,,,,,,6,8,,https://www.youtube.com/watch?v=ZXpbeh8KBRw,,,,,,,,,,,,,,,,,,,,,,
22R,65,1,16-8,2,8,,,,2,2,,8,,,,,,,,,https://www.youtube.com/watch?v=ZXpbeh8KBRw,,,,,,,,,,,,,,,,,,,,,,
23B,74,0,5-6,1,,4,1,,,,,,,,,,4,,,,https://www.youtube.com/watch?v=uPQ9vpJ6BXE,,,,,,,,,,,,,,,,,,,,,,
23R,74,1,6-5,2,3,,1,,2,3,,1,,,,,,,,,https://www.youtube.com/watch?v=uPQ9vpJ6BXE,,,,,,,,,,,,,,,,,,,,,,
24B,65,1,10-0,4,2,,,,2,2,,,,2,,,,2,2,,https://www.youtube.com/watch?v=x5CE1vlVqnc,,,,,,,,,,,,,,,,,,,,,,
25B,60,1,9-4,4,2,,1,,,2,2,2,,,,,1,,2,,https://www.youtube.com/watch?v=O5V_bZBWoAg,,,,,,,,,,,,,,,,,,,,,,
25R,60,0,4-9,1,2,2,1,,,1,,2,,,,,,,,1,https://www.youtube.com/watch?v=O5V_bZBWoAg,,,,,,,,,,,,,,,,,,,,,,
26B,61,1,3-3,2,1,,,,,,,3,,,,,,,,,https://www.youtube.com/watch?v=QMulrQcHGvk,,,,,,,,,,,,,,,,,,,,,,
26R,61,0,3-3,,2,,,1,,,,,,,,,2,,,,https://www.youtube.com/watch?v=QMulrQcHGvk,,,,,,,,,,,,,,,,,,,,,,
27B,65,0,1-5,,,,,1,,,,,,,,,,,,,https://www.youtube.com/watch?v=Qh_WgBg3qM4,,,,,,,,,,,,,,,,,,,,,,
27R,65,1,5-1,4,,,,1,,,4,,,,,,,,,,https://www.youtube.com/watch?v=Qh_WgBg3qM4,,,,,,,,,,,,,,,,,,,,,,
28B,61,0,4-6,2,,,2,1,,,1,,,,,,,,,1,https://www.youtube.com/watch?v=DuTpIzcWyEQ,,,,,,,,,,,,,,,,,,,,,,
28R,61,1,6-4,2,,,,,,2,,,,,,,,4,,,https://www.youtube.com/watch?v=DuTpIzcWyEQ,,,,,,,,,,,,,,,,,,,,,,
29B,57,1,6-3,,1,,1,1,,,,1,,,,,,2,,,https://www.youtube.com/watch?v=J897bikA6wE,,,,,,,,,,,,,,,,,,,,,,
